"","x"
"225",1
"226",1
"227",0
"228",0
"229",1
"230",0
"231",0
"232",0
"233",1
"234",0
"235",1
"236",0
"237",1
"238",0
"239",0
"240",0
"241",0
"242",1
"243",0
"244",0
"245",1
"246",0
"247",1
"248",0
"249",0
"250",1
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",1
"259",0
"260",1
"261",0
"262",1
"263",1
"264",1
"265",1
"266",0
"267",1
"268",1
"269",0
"270",0
"271",1
"272",0
"273",0
"274",1
"275",0
"276",1
"277",0
"278",1
"279",0
"280",0
"281",0
"282",0
"283",0
"284",1
"285",0
"286",1
"287",0
"288",0
"289",1
"290",1
"291",0
"292",0
"293",0
"294",1
"295",0
"296",0
"297",1
"298",0
"299",0
"300",1
"301",0
"302",0
"303",0
"304",0
"305",1
"306",1
"307",0
"308",0
"309",0
"310",0
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",0
"318",0
"319",0
"320",1
"321",0
"322",0
"323",1
"324",0
"325",0
"326",0
"327",0
"328",1
"329",1
"330",0
"331",1
"332",1
"333",1
"334",1
"335",0
"336",1
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",1
"344",1
"345",0
"346",1
"347",1
"348",0
"349",0
"350",1
"351",0
"352",0
"353",0
"354",0
"355",0
"356",1
"357",0
"358",0
"359",1
"360",0
"361",0
"362",1
"363",1
"364",1
"365",0
"366",1
"367",0
"368",0
"369",0
"370",1
"371",0
"372",0
"373",0
"374",0
"375",1
"376",0
"377",0
"378",1
"379",1
"380",0
"381",0
"382",1
"383",0
"384",1
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",1
"392",0
"393",0
"394",1
"395",1
"396",0
"397",0
"398",0
"399",1
"400",0
"401",1
"402",1
"403",1
"404",0
"405",1
"406",0
"407",0
"408",0
"409",1
"410",0
"411",1
"412",0
"413",0
"414",0
"415",1
"416",0
"417",1
"418",0
"419",1
"420",0
"421",1
"422",0
"423",1
"424",1
"425",0
"426",1
"427",0
"428",0
"429",1
"430",0
"431",1
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",1
"442",1
"443",0
"444",1
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",1
"454",1
"455",1
"456",1
"457",1
"458",1
"459",0
"460",1
"461",1
"462",1
"463",1
"464",1
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",1
"472",1
"473",1
"474",0
"475",0
"476",0
"477",1
"478",0
"479",0
"480",0
"481",1
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",1
"489",0
"490",1
"491",1
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",1
"499",1
"500",0
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",1
"509",1
"510",0
"511",0
"512",1
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",1
"520",0
"521",1
"522",0
"523",1
"524",0
"525",1
"526",0
"527",0
"528",0
"529",0
"530",1
"531",0
"532",0
"533",0
"534",0
"535",0
"536",1
"537",0
"538",1
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",1
"548",1
"549",0
"550",0
"551",0
"552",1
"553",1
"554",1
"555",0
"556",0
"557",1
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",1
"565",0
"566",1
"567",1
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",1
"577",1
"578",0
"579",0
"580",1
"581",1
"582",1
"583",1
"584",0
"585",1
"586",1
"587",0
"588",1
"589",0
"590",1
"591",0
"592",0
"593",1
"594",0
"595",0
"596",0
"597",1
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",1
"606",1
"607",0
"608",1
"609",0
"610",0
"611",0
"612",1
"613",0
"614",0
